#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
3,mobile cellular subscriptions per 100 people,-0.09522,True,-0.09511,True,Decision
4,population ages 15-64 female pct of total,-0.07985,True,-0.07404,True,Decision
5,age dependency ratio pct of working-age population,0.07478,True,0.07285,True,Decision
6,population ages 15-64 pct of total,-0.07356,True,-0.07263,True,Decision
7,population ages 5-9 female pct of female population,0.07305,True,0.07092,True,Decision
8,agricultural land sq. km,0.07243,True,0.0975,True,Decision
9,age dependency ratio young pct of working-age population,0.07185,True,0.07036,True,Decision
10,population ages 5-9 male pct of male population,0.07122,True,0.07124,True,Decision
11,population ages 0-14 female pct of total,0.06862,True,0.06659,True,Decision
12,fertility rate total births per woman,0.06836,True,0.06621,True,Decision
13,population ages 0-14 pct of total,0.0681,True,0.06766,True,Decision
14,population ages 15-64 male pct of total,-0.06793,True,-0.06937,True,Decision
15,population ages 0-14 male pct of total,0.06656,True,0.06771,True,Decision
16,population ages 10-14 female pct of female population,0.06551,True,0.06756,True,Decision
17,population ages 0-4 female pct of female population,0.06476,True,0.0612,True,Decision
18,population ages 55-59 male pct of male population,-0.06358,True,-0.06785,True,Decision
19,population ages 0-4 male pct of male population,0.06307,True,0.06291,True,Decision
20,population ages 10-14 male pct of male population,0.06223,True,0.06429,True,Decision
21,access to electricity pct of population,-0.06191,True,-0.04205,True,Decision
22,access to electricity rural pct of rural population,-0.06123,True,-0.04149,True,Decision
23,food production index 2004-2006 = 100,-0.06063,True,-0.07047,True,Decision
24,mortality rate adult female per 1000 female adults,0.0606,True,0.06826,True,Decision
25,birth rate crude per 1000 people,0.06004,True,0.06037,True,Decision
26,population ages 55-59 female pct of female population,-0.0595,True,-0.06651,True,Decision
27,mortality rate adult male per 1000 male adults,0.05919,True,0.06156,True,Decision
28,surface area sq. km,0.05828,True,0.07764,True,Decision
29,energy intensity level of primary energy mj  2011 ppp gdp,0.05804,True,0.07308,True,Decision
30,land area sq. km,0.05749,True,0.07582,True,Decision
31,survival to age 65 female pct of cohort,-0.05729,True,-0.05995,True,Decision
32,survival to age 65 male pct of cohort,-0.05728,True,-0.06089,True,Decision
33,individuals using the internet pct of population,-0.05695,True,-0.05943,True,Decision
34,population ages 50-54 male pct of male population,-0.05695,True,-0.05902,True,Decision
35,population ages 60-64 male pct of male population,-0.05554,True,-0.0609,True,Decision
36,population ages 60-64 female pct of female population,-0.0553,True,-0.06217,True,Decision
37,forest area pct of land area,-0.05524,True,-0.05223,True,Decision
38,life expectancy at birth total years,-0.05496,True,-0.05555,True,Decision
39,life expectancy at birth female years,-0.05482,True,-0.05634,True,Decision
40,population ages 45-49 female pct of female population,-0.05475,True,-0.05323,True,Decision
41,population ages 50-54 female pct of female population,-0.0544,True,-0.05796,True,Decision
42,life expectancy at birth male years,-0.05425,True,-0.05616,True,Decision
43,rainfall (mm),-0.05405,True,-0.06163,True,Decision
44,agricultural land pct of land area,0.05394,True,0.05528,True,Decision
45,livestock production index 2004-2006 = 100,-0.05342,True,-0.06673,True,Decision
46,forest area sq. km,0.05323,True,0.04379,True,Decision
47,population ages 45-49 male pct of male population,-0.05282,True,-0.04888,True,Decision
48,population ages 40-44 female pct of female population,-0.05223,True,-0.04641,True,Decision
49,permanent cropland pct of land area,-0.05089,True,-0.06382,True,Decision
51,population ages 35-39 female pct of female population,-0.04926,True,-0.04065,True,Decision
53,crop production index 2004-2006 = 100,-0.04822,True,-0.06081,True,Decision
54,population ages 30-34 female pct of female population,-0.04794,True,-0.052,True,Decision
55,population ages 65-69 male pct of male population,-0.0479,True,-0.05626,True,Decision
56,adolescent fertility rate births per 1000 women ages 15-19,0.04686,True,0.05916,True,Decision
57,rural population growth annual pct,0.04663,True,0.05665,True,Decision
58,access to electricity urban pct of urban population,-0.04647,True,-0.0474,True,Decision
59,population ages 65-69 female pct of female population,-0.04592,True,-0.05501,True,Decision
61,mortality rate neonatal per 1000 live births,0.04347,True,0.048,True,Decision
62,population ages 40-44 male pct of male population,-0.04282,True,-0.03813,True,Decision
63,population ages 15-19 female pct of female population,0.04274,True,0.04933,True,Decision
64,population ages 70-74 male pct of male population,-0.04234,True,-0.05192,True,Decision
66,population ages 65 and above male pct of total,-0.04157,True,-0.05018,True,Decision
68,rural population pct of total population,0.03968,True,0.03791,True,Decision
69,urban population pct of total,-0.03968,True,-0.03791,True,Decision
70,cereal production metric tons,0.03963,True,0.03476,True,Decision
72,population ages 65 and above pct of total,-0.03865,True,-0.04926,True,Decision
74,population ages 15-19 male pct of male population,0.03774,True,0.03994,True,Decision
75,land under cereal production hectares,0.03767,True,0.05128,True,Decision
76,maternal mortality ratio modeled estimate per 100000 live births,0.03758,True,0.04667,True,Decision
77,lifetime risk of maternal death 1 in  rate varies by country,-0.03755,True,-0.03693,True,Decision
79,population ages 70-74 female pct of female population,-0.03753,True,-0.04608,True,Decision
80,secondary education duration years,-0.03704,True,-0.0369,True,Decision
81,mortality rate infant per 1000 live births,0.03703,True,0.0501,True,Decision
82,mortality rate under-5 per 1000 live births,0.03699,True,0.0514,True,Decision
83,population ages 65 and above female pct of total,-0.0364,True,-0.04656,True,Decision
86,population ages 80 and above male pct of male population,-0.03537,True,-0.04189,True,Decision
87,population ages 75-79 male pct of male population,-0.03527,True,-0.04269,True,Decision
88,lifetime risk of maternal death pct,0.03515,True,0.04763,True,Decision
