#,Attribute Name,Pointbiserial,pvalue < 0.005,Spearman,pvalue < 0.005,Decision
1,refugee population by country or territory of origin,0.11782,True,0.02924,False,Decision
2,mortality rate neonatal per 1000 live births,0.05519,True,0.02936,False,Decision
3,lifetime risk of maternal death pct,0.05324,True,0.02848,False,Decision
4,contributing family workers female pct of female employment modeled ilo estimate,0.05241,True,0.02923,False,Decision
5,labor force female pct of total labor force,-0.04879,True,-0.02827,False,Decision
6,immunization measles pct of children ages 12-23 months,-0.04874,True,-0.02776,False,Decision
7,fertility rate total births per woman,0.04713,True,0.02873,False,Decision
8,ratio of female to male labor force participation rate pct modeled ilo estimate,-0.04639,True,-0.02915,False,Decision
9,immunization dpt pct of children ages 12-23 months,-0.04587,True,-0.02744,False,Decision
10,contributing family workers male pct of male employment modeled ilo estimate,0.04561,True,0.0276,False,Decision
11,population growth annual pct,0.04348,True,0.02868,False,Decision
12,labor force participation rate female pct of female population ages 15-64 modeled ilo estimate,-0.04337,True,-0.02881,False,Decision
13,labor force participation rate female pct of female population ages 15+ modeled ilo estimate,-0.04208,True,-0.02869,False,Decision
14,maternal mortality ratio modeled estimate per 100000 live births,0.04047,True,0.02745,False,Decision
15,urban population growth annual pct,0.03999,True,0.02881,False,Decision
16,employment to population ratio 15+ female pct modeled ilo estimate,-0.03976,True,-0.02846,False,Decision
17,access to electricity pct of population,-0.03906,True,-0.02674,False,Decision
18,birth rate crude per 1000 people,0.0386,True,0.02754,False,Decision
19,age dependency ratio pct of working-age population,0.03852,True,0.02773,False,Decision
20,population ages 0-4 female pct of female population,0.03847,True,0.02833,False,Decision
21,rural population growth annual pct,0.0381,True,0.02899,False,Decision
22,population ages 15-64 female pct of total,-0.03775,True,-0.02818,False,Decision
23,age dependency ratio young pct of working-age population,0.0375,True,0.02783,False,Decision
24,employment in agriculture female pct of female employment modeled ilo estimate,0.03697,True,0.02746,False,Decision
25,population ages 0-4 male pct of male population,0.03616,True,0.0274,False,Decision
26,employment in industry male pct of male employment modeled ilo estimate,-0.03597,True,-0.02839,False,Decision
27,contributing family workers total pct of total employment modeled ilo estimate,0.03531,True,0.02554,False,Decision
28,employment in agriculture male pct of male employment modeled ilo estimate,0.03473,True,0.02678,False,Decision
29,employment in agriculture pct of total employment modeled ilo estimate,0.03454,True,0.02643,False,Decision
30,population ages 15-64 pct of total,-0.0345,True,-0.02773,False,Decision
31,population ages 0-14 female pct of total,0.03402,True,0.02845,False,Decision
32,population ages 5-9 female pct of female population,0.03337,False,0.02839,False,Decision
33,employment in industry pct of total employment modeled ilo estimate,-0.03335,False,-0.02744,False,Decision
34,employment in services female pct of female employment modeled ilo estimate,-0.03298,False,-0.0276,False,Decision
35,population ages 0-14 pct of total,0.03297,False,0.02798,False,Decision
36,mortality rate infant per 1000 live births,0.03277,False,0.02479,False,Decision
37,preprimary education duration years,0.03201,False,0.0307,False,Decision
38,population ages 15-64 male pct of total,-0.03189,False,-0.02676,False,Decision
39,population ages 0-14 male pct of total,0.03159,False,0.02732,False,Decision
40,labor force participation rate for ages 15-24 male pct modeled ilo estimate,0.03128,False,0.02815,False,Decision
41,adolescent fertility rate births per 1000 women ages 15-19,0.03122,False,0.02576,False,Decision
42,population ages 5-9 male pct of male population,0.0308,False,0.02739,False,Decision
43,population ages 35-39 female pct of female population,-0.03023,False,-0.02851,False,Decision
44,population ages 40-44 female pct of female population,-0.03005,False,-0.02828,False,Decision
45,primary school starting age years,0.02926,False,0.03002,False,Decision
46,employment in services pct of total employment modeled ilo estimate,-0.02922,False,-0.026,False,Decision
47,urban population pct of total,-0.02914,False,-0.02575,False,Decision
48,rural population pct of total population,0.02914,False,0.02575,False,Decision
49,employment in services male pct of male employment modeled ilo estimate,-0.02847,False,-0.02639,False,Decision
50,temparature ($^\circ$c),-0.02837,False,-0.02502,False,Decision
51,mortality rate under-5 per 1000 live births,0.02766,False,0.02411,False,Decision
52,population ages 45-49 female pct of female population,-0.02759,False,-0.02818,False,Decision
53,mobile cellular subscriptions per 100 people,-0.02759,False,-0.02561,False,Decision
54,labor force participation rate total pct of total population ages 15-64 modeled ilo estimate,-0.02746,False,-0.0243,False,Decision
55,labor force participation rate male pct of male population ages 15+ modeled ilo estimate,0.0273,False,0.02709,False,Decision
56,population ages 40-44 male pct of male population,-0.02664,False,-0.02673,False,Decision
57,vulnerable employment male pct of male employment modeled ilo estimate,0.02639,False,0.02284,False,Decision
58,population ages 45-49 male pct of male population,-0.02626,False,-0.02613,False,Decision
59,population ages 10-14 female pct of female population,0.02576,False,0.02671,False,Decision
60,life expectancy at birth female years,-0.0252,False,-0.02217,False,Decision
61,wage and salaried workers male pct of male employment modeled ilo estimate,-0.02515,False,-0.02258,False,Decision
62,self-employed male pct of male employment modeled ilo estimate,0.02515,False,0.02258,False,Decision
63,forest area pct of land area,-0.02505,False,-0.02466,False,Decision
64,survival to age 65 female pct of cohort,-0.02477,False,-0.02169,False,Decision
65,population ages 50-54 male pct of male population,-0.02469,False,-0.02584,False,Decision
66,population ages 30-34 female pct of female population,-0.02459,False,-0.02873,False,Decision
67,life expectancy at birth total years,-0.0244,False,-0.02193,False,Decision
68,population ages 50-54 female pct of female population,-0.02438,False,-0.0265,False,Decision
69,population ages 35-39 male pct of male population,-0.02429,False,-0.02704,False,Decision
70,labor force participation rate for ages 15-24 female pct modeled ilo estimate,-0.02406,False,-0.02515,False,Decision
71,lower secondary school starting age years,0.0239,False,0.02647,False,Decision
72,vulnerable employment total pct of total employment modeled ilo estimate,0.02326,False,0.01964,False,Decision
73,employment to population ratio ages 15-24 male pct modeled ilo estimate,0.02325,False,0.02512,False,Decision
74,population ages 10-14 male pct of male population,0.0232,False,0.02377,False,Decision
75,life expectancy at birth male years,-0.02319,False,-0.02182,False,Decision
76,co2 emissions from gaseous fuel consumption pct of total,0.02304,False,0.02417,False,Decision
77,population ages 55-59 male pct of male population,-0.02274,False,-0.02622,False,Decision
78,wage and salaried workers total pct of total employment modeled ilo estimate,-0.02231,False,-0.01949,False,Decision
79,self-employed total pct of total employment modeled ilo estimate,0.02231,False,0.01949,False,Decision
80,labor force participation rate male pct of male population ages 15-64 modeled ilo estimate,0.02223,False,0.02728,False,Decision
81,survival to age 65 male pct of cohort,-0.02212,False,-0.02155,False,Decision
82,population ages 65-69 female pct of female population,-0.02181,False,-0.02829,False,Decision
83,population ages 60-64 female pct of female population,-0.02175,False,-0.02694,False,Decision
84,employment to population ratio ages 15-24 female pct modeled ilo estimate,-0.02154,False,-0.02312,False,Decision
85,population ages 55-59 female pct of female population,-0.02139,False,-0.025,False,Decision
86,population ages 65-69 male pct of male population,-0.02129,False,-0.0278,False,Decision
87,employers female pct of female employment modeled ilo estimate,-0.0209,False,-0.02735,False,Decision
88,population ages 70-74 male pct of male population,-0.02081,False,-0.0284,False,Decision
89,population ages 70-74 female pct of female population,-0.02076,False,-0.02879,False,Decision
90,population ages 60-64 male pct of male population,-0.02074,False,-0.02626,False,Decision
91,mortality rate adult female per 1000 female adults,0.02071,False,0.02132,False,Decision
92,renewable electricity output pct of total electricity output,0.02062,False,0.02054,False,Decision
93,vulnerable employment female pct of female employment modeled ilo estimate,0.02048,False,0.01814,False,Decision
94,population ages 65 and above male pct of total,-0.02033,False,-0.02825,False,Decision
95,labor force participation rate total pct of total population ages 15+ modeled ilo estimate,-0.02019,False,-0.023,False,Decision
96,population ages 65 and above pct of total,-0.02018,False,-0.02862,False,Decision
97,employers male pct of male employment modeled ilo estimate,-0.0201,False,-0.02566,False,Decision
98,population ages 65 and above female pct of total,-0.01997,False,-0.02882,False,Decision
99,self-employed female pct of female employment modeled ilo estimate,0.0198,False,0.01759,False,Decision
100,wage and salaried workers female pct of female employment modeled ilo estimate,-0.0198,False,-0.01759,False,Decision
101,employment to population ratio 15+ male pct modeled ilo estimate,0.01965,False,0.02275,False,Decision
102,population ages 75-79 female pct of female population,-0.01953,False,-0.02819,False,Decision
103,population ages 75-79 male pct of male population,-0.01933,False,-0.02791,False,Decision
104,population ages 15-19 female pct of female population,0.01904,False,0.02162,False,Decision
105,employment to population ratio 15+ total pct modeled ilo estimate,-0.01896,False,-0.02245,False,Decision
106,age dependency ratio old pct of working-age population,-0.01889,False,-0.02741,False,Decision
107,employers total pct of total employment modeled ilo estimate,-0.01837,False,-0.02454,False,Decision
108,gdp per person employed constant 2011 ppp  ,-0.01828,False,-0.02413,False,Decision
109,population ages 15-19 male pct of male population,0.01818,False,0.02074,False,Decision
110,population ages 30-34 male pct of male population,-0.0181,False,-0.02676,False,Decision
111,population ages 80 and above male pct of male population,-0.018,False,-0.02675,False,Decision
112,energy intensity level of primary energy mj  2011 ppp gdp,-0.01796,False,-0.02958,False,Decision
113,population ages 80 and above female pct of female population,-0.01733,False,-0.02688,False,Decision
114,mortality rate adult male per 1000 male adults,0.01726,False,0.02092,False,Decision
115,co2 emissions metric tons per capita,-0.0164,False,-0.02885,False,Decision
116,cereal yield kg per hectare,-0.01599,False,-0.02042,False,Decision
117,agricultural land pct of land area,0.01506,False,0.01813,False,Decision
118,employment in industry female pct of female employment modeled ilo estimate,-0.01473,False,-0.01823,False,Decision
119,unemployment female pct of female labor force modeled ilo estimate,0.01319,False,0.01923,False,Decision
120,lifetime risk of maternal death 1 in  rate varies by country,-0.01273,False,-0.0284,False,Decision
121,rainfall (mm),-0.01263,False,-0.0164,False,Decision
122,death rate crude per 1000 people,0.0124,False,0.01941,False,Decision
123,permanent cropland pct of land area,-0.01211,False,-0.0193,False,Decision
124,access to electricity urban pct of urban population,-0.01203,False,-0.02207,False,Decision
125,population ages 25-29 female pct of female population,-0.01157,False,-0.01493,False,Decision
126,prevalence of anemia among children pct of children under 5,0.01076,False,0.01617,False,Decision
127,prevalence of anemia among women of reproductive age pct of women ages 15-49,0.00934,False,0.01527,False,Decision
128,co2 emissions from solid fuel consumption pct of total,-0.00924,False,-0.00522,False,Decision
129,population ages 20-24 male pct of male population,0.00884,False,0.00769,False,Decision
130,prevalence of anemia among non-pregnant women pct of women ages 15-49,0.00882,False,0.01516,False,Decision
131,population male pct of total,0.00871,False,0.02614,False,Decision
132,population female pct of total,-0.00871,False,-0.02614,False,Decision
133,forest area sq. km,-0.00843,False,-0.01625,False,Decision
134,capture fisheries production metric tons,-0.0084,False,-0.02785,False,Decision
135,co2 emissions from liquid fuel consumption kt,-0.00826,False,-0.0265,False,Decision
136,population ages 25-29 male pct of male population,-0.00792,False,-0.01112,False,Decision
137,co2 emissions from gaseous fuel consumption kt,-0.00768,False,-0.01425,False,Decision
138,livestock production index 2004-2006 = 100,-0.00766,False,-0.01474,False,Decision
139,population ages 20-24 female pct of female population,0.00756,False,0.00371,False,Decision
140,individuals using the internet pct of population,-0.00743,False,-0.0042,False,Decision
141,number of maternal deaths,0.00739,False,0.02258,False,Decision
142,renewable energy consumption pct of total final energy consumption,0.00733,False,0.0139,False,Decision
143,cereal production metric tons,-0.00727,False,-0.00159,False,Decision
144,land under cereal production hectares,-0.00716,False,0.00293,False,Decision
145,population ages 65 and above female,-0.0071,False,-0.01377,False,Decision
146,urban population,-0.00701,False,-0.00991,False,Decision
147,population ages 65 and above total,-0.00684,False,-0.01291,False,Decision
148,co2 emissions kt,-0.00669,False,-0.02471,False,Decision
149,mobile cellular subscriptions,-0.00662,False,-0.02437,False,Decision
150,secondary education duration years,-0.00659,False,-0.00837,False,Decision
151,population ages 65 and above male,-0.00655,False,-0.01249,False,Decision
152,food production index 2004-2006 = 100,-0.00646,False,-0.01378,False,Decision
153,population ages 15-64 female,-0.00615,False,-0.00238,False,Decision
154,population ages 15-64 total,-0.00608,False,-0.00176,False,Decision
155,population female,-0.00605,False,0.00015,False,Decision
156,labor force total,-0.00605,False,-0.00473,False,Decision
157,population ages 15-64 male,-0.00602,False,-0.00105,False,Decision
158,population male,-0.00587,False,0.00076,False,Decision
159,surface area sq. km,-0.00585,False,0.00829,False,Decision
160,crop production index 2004-2006 = 100,-0.00579,False,-0.01241,False,Decision
161,population total,-0.00576,False,0.001,False,Decision
162,land area sq. km,-0.00575,False,0.00829,False,Decision
163,arable land hectares per person,0.0056,False,0.0193,False,Decision
164,unemployment total pct of total labor force modeled ilo estimate,0.00559,False,0.015,False,Decision
165,total fisheries production metric tons,-0.00559,False,-0.02859,False,Decision
166,primary education duration years,0.00528,False,0.00555,False,Decision
167,co2 emissions from solid fuel consumption kt,-0.00527,False,-0.01321,False,Decision
168,unemployment youth female pct of female labor force ages 15-24 modeled ilo estimate,0.00503,False,0.01431,False,Decision
169,population ages 0-14 female,-0.00494,False,0.00867,False,Decision
170,population ages 0-14 total,-0.00493,False,0.00875,False,Decision
171,agricultural land sq. km,-0.00491,False,0.00943,False,Decision
172,population ages 0-14 male,-0.00491,False,0.00881,False,Decision
173,rural population,-0.00451,False,0.01072,False,Decision
174,unemployment male pct of male labor force modeled ilo estimate,0.00445,False,0.01209,False,Decision
175,population density people per sq. km of land area,-0.00427,False,-0.01299,False,Decision
176,co2 emissions from liquid fuel consumption pct of total,-0.00389,False,-0.00309,False,Decision
177,arable land pct of land area,-0.00377,False,-0.00021,False,Decision
178,fixed telephone subscriptions per 100 people,-0.00341,False,0.00153,False,Decision
179,access to electricity rural pct of rural population,-0.00315,False,-0.01272,False,Decision
180,fixed telephone subscriptions,0.00311,False,0.0208,False,Decision
181,natural gas rents pct of gdp,0.00278,False,0.01808,False,Decision
182,unemployment youth total pct of total labor force ages 15-24 modeled ilo estimate,0.00264,False,0.00846,False,Decision
183,labor force participation rate for ages 15-24 total pct modeled ilo estimate,0.00237,False,0.00297,False,Decision
184,number of neonatal deaths,0.00226,False,0.0202,False,Decision
185,unemployment youth male pct of male labor force ages 15-24 modeled ilo estimate,0.00225,False,0.00761,False,Decision
186,coal rents pct of gdp,-0.00163,False,0.01717,False,Decision
187,number of under-five deaths,0.0015,False,0.01873,False,Decision
188,number of infant deaths,0.00129,False,0.01884,False,Decision
189,total natural resources rents pct of gdp,-0.00119,False,0.0091,False,Decision
190,oil rents pct of gdp,-0.00115,False,0.0169,False,Decision
191,mineral rents pct of gdp,-0.00066,False,0.0169,False,Decision
192,forest rents pct of gdp,0.00024,False,0.01725,False,Decision
193,employment to population ratio ages 15-24 total pct modeled ilo estimate,0.00016,False,0.00025,False,Decision
